stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,1,TIDWELL RD @ WHEATLEY ST,,29.846869,-95.428169,,,,,0
2,2,TIDWELL RD @ TUSKEGEE ST,,29.846893,-95.426135,,,,,0
4,4,KNOX ST @ MANSFIELD ST,,29.85125,-95.422985,,,,,0
5,5,KNOX ST @ RACHEL ST,,29.853955,-95.423032,,,,,0
9,9,MONTGOMERY RD @ SHEPHERD DR,,29.85001,-95.41256,,,,,0
10,10,DE PRIEST DR @ ROSIE ST,,29.858675,-95.418035,,,,,0
17,17,LAWN DR @ FORTUNE,,29.873446,-95.417372,,,,,0
18,18,LAWN DR @ RINGOLD ST,,29.875108,-95.417377,,,,,0
19,19,RINGOLD ST @ DE PRIEST DR,,29.874393,-95.421094,,,,,0
21,21,DE PRIEST DR @ MARCOLIN ST,,29.879952,-95.420694,,,,,0
22,22,DE PRIEST DR @ DEWALT ST,,29.882286,-95.42073,,,,,0
23,23,DEWALT ST @ PARKWAY DR,,29.882394,-95.423728,,,,,0
24,24,DEWALT ST @ PARKWAY DR,,29.882382,-95.426172,,,,,0
25,25,DEWALT ST @ PRAIRIE VIEW DR,,29.88209,-95.428147,,,,,0
27,27,DEWALT ST @ IRBY,,29.881941,-95.433606,,,,,0
28,28,DEWALT ST @ TOWER ST,,29.881823,-95.437845,,,,,0
30,30,DEWALT ST @ BECKLEY ST,,29.882604,-95.442507,,,,,0
31,31,DEWALT ST @ BECKLEY ST,,29.882532,-95.4451,,,,,0
33,33,MONTGOMERY RD @ MC CRAREY DR,,29.887479,-95.453293,,,,,0
61,61,MAIN ST @ DRYDEN RD,,29.710574,-95.40177,,,,,0
64,64,MAXEY ROAD PR,MAXEY PR,29.784356,-95.217505,,,,,0
66,66,WESTWOOD PR,SOUTHWEST FREEWAY,29.672177,-95.54828,,,,,0
67,67,GREENSPOINT TC,GREENSPOINT DR,29.948593,-95.410372,,,,,0
68,68,ACRES HOMES TC,MONTGOMERY RD,29.864924,-95.431,,,,,0
69,69,FIFTH WARD/DENVER HARBOR TC,LOCKWOOD DR,29.77535,-95.315375,,,,,0
70,70,HEIGHTS TC,MAIN ST,29.805554,-95.388335,,,,,0
71,71,HILLCROFT TC,SOUTHWEST FREEWAY,29.722577,-95.495879,,,,,0
72,72,SOUTHEAST TC,SCOTTCREST DR,29.701387,-95.357172,,,,,0
73,73,HIRAM CLARKE TC,HIRAMCLARKETC,29.613892,-95.43185,,,,,0
74,74,BELLAIRE TC,BELLAIRE BLVD,29.705711,-95.468828,,,,,0
75,75,EASTWOOD TC,,29.728231,-95.335165,,,,,0
76,76,KASHMERE TC,KELLEY ST,29.814114,-95.327869,,,,,0
77,77,MAGNOLIA TC,,29.735182,-95.303051,,,,,0
78,78,MESA TC,MESA DR,29.849775,-95.264267,,,,,0
79,79,NORTHWEST TC,OLD KATY RD,29.783119,-95.455608,,,,,0
80,80,JENSEN & TIDWELL,,29.85163,-95.337046,,,,,0
81,81,FUQUA PR,SABO RD,29.609886,-95.21693,,,,,0
82,82,MONROE PR,MOROE PR,29.66395,-95.254618,,,,,0
83,83,NORTH SHEPHERD PR,SHEPHERD DR,29.876033,-95.41408,,,,,0
84,84,SPRING PR,CARLSWAY RD,30.022103,-95.417595,,,,,0
85,85,GESSNER PR,WESTPARK DR,29.720336,-95.537158,,,,,0
86,86,KINGSLAND PR,KINGSLAND BLVD,29.774021,-95.744426,,,,,0
87,87,EL FRANCO LEE CLINIC,EL FRANCO LEE DR & GLENWOLDE DR,29.6797,-95.573001,,,,,0
88,88,ADDICKS PR,PARK ROW RD,29.787456,-95.638333,,,,,0
89,89,BAY AREA PR,BAY AREA BLVD,29.552869,-95.124196,,,,,0
90,90,EASTEX PR,OLD HUMBLE RD,29.927799,-95.298148,,,,,0
91,91,KINGWOOD PR,LAKE HOUSTON PKWY,30.054341,-95.183067,,,,,0
92,92,KUYKENDAHL PR,KUYKENDAHL RD,29.973646,-95.425368,,,,,0
93,93,WEST LITTLE YORK PR,HEMPSTEAD RD,29.869782,-95.553165,,,,,0
94,94,MISSION BEND PR,,29.711374,-95.62941,,,,,0
95,95,NORTHWEST STATION PR,NORTHWEST FREEWAY,29.902195,-95.594044,,,,,0
97,97,MISSOURI CITY PR,FONDREN RD,29.621839,-95.50714,,,,,0
98,98,SETON LAKE PR,SETON LAKE DR,29.927812,-95.499306,,,,,0
99,99,WEST BELLFORT PR,ROARK RD,29.655206,-95.559837,,,,,0
100,100,WEST LOOP PR,WEST LOOP P&R,29.679521,-95.45719,,,,,0
101,101,MEMORIAL DR @ GREENBAY,,29.76248,-95.5064,,,,,0
102,102,RANCHESTER DR @ TOWN PARK DR,,29.714642,-95.547516,,,,,0
103,103,RANCHESTER DR @ HARWIN DR,,29.714578,-95.547662,,,,,0
104,104,GESSNER RD @ HENDON LN,,29.69421,-95.53705,,,,,0
105,105,PLAZAMERICAS,BELLAIRE BLVD & SOUTHWEST FREEWAY,29.705262,-95.515699,,,,,0
106,106,HILLCROFT AVE @ SOUTHWEST FREEWAY,,29.717348,-95.50008,,,,,0
107,107,RICE AVE @ WESTPARK DR,,29.725924,-95.468467,,,,,0
108,108,SILBER RD @ SHAVELSON ST,,29.786882,-95.467929,,,,,0
109,109,SILBER RD @ HARTLAND ST,,29.788573,-95.467995,,,,,0
110,110,SILBER RD @ HARTLAND ST,,29.79119,-95.468033,,,,,0
111,111,SILBER RD @ ROLLA ST,,29.792729,-95.468048,,,,,0
112,112,SILBER RD @ ROLLA ST,,29.792878,-95.468191,,,,,0
113,113,SILBER RD @ ROLLA ST,,29.791062,-95.468186,,,,,0
114,114,SILBER RD @ HARTLAND ST,,29.78881,-95.468151,,,,,0
115,115,SILBER RD @ SHAVELSON ST,,29.787098,-95.468137,,,,,0
118,118,WESTVIEW DR @ CEDAR POST LN,,29.793008,-95.523529,,,,,0
119,119,CAMPBELL RD @ PECOS ST,,29.79755,-95.51386,,,,,0
120,120,FOURNACE PL @ ANDERSON ST,,29.716659,-95.463875,,,,,0
121,121,BRAESWOOD BLVD @ GESSNER RD,,29.671438,-95.529686,,,,,0
122,122,GRAY ST @ WAUGH DR,,29.753152,-95.398297,,,,,0
125,125,PIERCE ST @ CRAWFORD ST,,29.7464,-95.365868,,,,,0
126,126,AVENIDA DE LAS AMERICAS @ DALLAS ST,,29.751727,-95.35952,,,,,0
127,127,WESTHEIMER RD @ LOOP,,29.741033,-95.456859,,,,,0
128,128,WESTHEIMER RD @ EASTGROVE LN,,29.741559,-95.438683,,,,,0
129,129,WESTHEIMER RD @ BUFFALO SPEEDWAY,,29.741986,-95.430235,,,,,0
130,130,ALABAMA ST @ BUFFALO SPEEDWAY,,29.73842,-95.4288,,,,,0
131,131,YORKTOWN ST @ INWOOD DR,,29.74685,-95.47076,,,,,0
132,132,ST JAMES PL @ SAN FELIPE RD,,29.74944,-95.47288,,,,,0
133,133,POST OAK LN @ WESTBRIAR LN,,29.751485,-95.462914,,,,,0
134,134,POST OAK RD @ MEMORIAL DR,,29.773933,-95.456452,,,,,0
136,136,POST OAK RD @ OAKFORD DR,,29.77782,-95.456505,,,,,0
137,137,POST OAK RD @ OAKFORD DR,,29.780041,-95.456548,,,,,0
138,138,WESTHEIMER RD @ CRESCENT PARK DR,,29.736388,-95.585711,,,,,0
141,141,MEMORIAL DR @ WILCREST DR,,29.77279,-95.58013,,,,,0
142,142,CAVALCADE ST @ RUSSELL ST,,29.80006,-95.33273,,,,,0
143,143,TIDWELL RD @ SHOREHAM ST,,29.848043,-95.344673,,,,,0
144,144,WAYSIDE DR @ MILLARD ST,,29.803515,-95.2845,,,,,0
145,145,WAYSIDE DR @ LOOP,,29.804014,-95.284721,,,,,0
146,146,EASTEX FREEWAY   @ BAY ST,,29.800033,-95.339234,,,,,0
147,147,LOOP   @ GELLHORN DR,,29.785182,-95.264596,,,,,0
148,148,LOOP   @ GELLHORN DR,,29.788776,-95.266098,,,,,0
149,149,LOOP   @ GELLHORN DR,,29.790611,-95.26682,,,,,0
150,150,LOOP   @ BANNER DR,,29.796655,-95.270287,,,,,0
151,151,LOOP   @ CITYPARK LOOP,,29.798525,-95.273239,,,,,0
152,152,SAN JACINTO ST @ CLEBURNE ST,,29.734828,-95.379822,,,,,0
154,154,20TH ST @ DURHAM DR,,29.80378,-95.41471,,,,,0
157,157,RICHMOND AVE @ CASETA DR,,29.7303,-95.650296,,,,,0
159,159,WESTLAKE PARK BLVD @ GRACIE ST,,29.780582,-95.630134,,,,,0
160,160,WESTHEIMER RD @ OLD FARM RD,,29.737357,-95.510327,,,,,0
161,161,WESTHEIMER RD @ OLD FARM RD,,29.737639,-95.512175,,,,,0
162,162,DIVIDEND DR @ CURRENCY ST,,29.780375,-95.260338,,,,,0
163,163,CURRENCY ST @ LOOP,,29.779679,-95.262291,,,,,0
164,164,GELLHORN DR @ LOOP,,29.784348,-95.265747,,,,,0
165,165,GELLHORN DR @ LOOP,,29.782223,-95.270172,,,,,0
166,166,GELLHORN DR @ LOOP,,29.779869,-95.271576,,,,,0
167,167,GELLHORN DR @ EAST FREEWAY,,29.777456,-95.272102,,,,,0
